slot,hour,bus_0,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14,bus_15,bus_16,bus_17,bus_18,bus_19,bus_20,bus_21,bus_22,bus_23,bus_24,bus_25,bus_26,bus_27,bus_28,bus_29,bus_30,bus_31,bus_32
0,6,1.0,0.9988171982524552,0.9931622934380173,0.9900616417426761,0.9870024156210851,0.9778392616180204,0.9755327869157435,0.9740473006531184,0.971601122744716,0.9693246840147736,0.9690599786648346,0.9686031596620963,0.966156748460016,0.9650802564501677,0.9645527492165631,0.9640533048921799,0.9631164800465742,0.962876456993994,0.998581515072037,0.9970196944868609,0.9966814283107958,0.9963612591704405,0.9917188023918229,0.9889084637511557,0.987514085653168,0.9769296591822274,0.975705019404878,0.9690350933239339,0.9641936199437489,0.9623951055997885,0.9605122644547206,0.9600665176445872,0.959900243211035
1,7,1.0,0.9987386092638824,0.9927133053207505,0.9894218402480371,0.9861738188309848,0.976609976408355,0.9742532255148985,0.9726212120133004,0.9700093103064751,0.9675794143325751,0.967288838979171,0.9667867317524002,0.9641815305639179,0.9630535385702559,0.9624876989226905,0.9619506257719086,0.9609666178865696,0.9607106902411997,0.9984896303975531,0.9968362442127158,0.9964813337941338,0.9961467460795026,0.9911738412557731,0.9881904565467295,0.9867095338004012,0.9756558645866333,0.9743728187727148,0.9674955248248185,0.9625070186747761,0.9606317774550668,0.9586496557627899,0.9581834312459249,0.9580120441778643
2,8,1.0,0.9986109690913265,0.9919838592117587,0.9883820959006053,0.9848270322174323,0.9746112885212866,0.9721725774128261,0.9703023395951257,0.9674208061921153,0.9647412488822167,0.9644085954110043,0.9638328208668551,0.9609692414622988,0.959757441864534,0.959129231890479,0.9585309339563685,0.9574701445803716,0.95718833931645,0.9983404756595986,0.9965389204935969,0.9961570784488474,0.9957991605390495,0.9902888362198335,0.9870249841669289,0.9854037953719632,0.9735848165417181,0.972206809485599,0.9649922348770548,0.9597646269341762,0.9577646401398517,0.9556210851925788,0.9551215653970845,0.9549418646712183
3,9,1.0,0.9985400330228597,0.9915783494317838,0.9878039282654432,0.984078004371708,0.9734993602864223,0.9710149355471664,0.96901217266457,0.9659805356317182,0.9631619989439494,0.9628059272027152,0.9621891509214033,0.9591817174810443,0.9579232528338348,0.9572603192868844,0.9566279359466429,0.9555243942638517,0.9552281824289279,0.998257625485039,0.9963740183133442,0.995977263127033,0.9956064264061774,0.9897970438959874,0.9863776360654328,0.9846786528274875,0.9724326362089808,0.9710017998699992,0.9635995205859547,0.9582388708797094,0.956169486766412,0.9539361139991863,0.9534180706079659,0.953233744174034
4,10,1.0,0.9985213826518612,0.9914717193026533,0.9876518782495338,0.9838810056664281,0.9732068760365981,0.9707104127295403,0.9686727907925385,0.9656016581626571,0.9627465537128578,0.9623843208863707,0.9617567571801103,0.9587114707105387,0.9574407263125474,0.9567686559672067,0.9561273037969292,0.9550125120495185,0.9547125094590155,0.9982358477448218,0.9963307024297331,0.995930032738828,0.995555805007422,0.98966774871061,0.9862074798640731,0.9844880619344039,0.9721295644002208,0.9706848317379145,0.9632331701963106,0.9578375220667381,0.9557498837274221,0.9534928840818938,0.9529699681327407,0.9527844248687969
5,11,1.0,0.9985221072444518,0.9914758621413655,0.9876577859084172,0.9838886598500625,0.9732182405303745,0.97072224509132,0.9686859776002279,0.9656163796679229,0.9627626961413629,0.9624007027127616,0.9617735581700528,0.9587297425864911,0.957459475357029,0.9567877600462481,0.956146756383302,0.9550324017922387,0.9547325465013041,0.9982366938006244,0.9963323850013256,0.9959318673443112,0.9955577713149533,0.9896727719608439,0.9862140903298635,0.9844954661692115,0.9721413402708139,0.9706971475509513,0.963247404822409,0.9578531165807987,0.9557661875090576,0.9535101058951976,0.9529873792701443,0.952801883286782
6,12,1.0,0.998510162272842,0.9914075659361966,0.9875603944756316,0.9837624746749001,0.9730308847323065,0.9705271748676036,0.9684685779403034,0.9653736779132535,0.962496568118734,0.9621306278723877,0.9614965727906581,0.9584285070053218,0.9571503727504481,0.9564728040713822,0.9558260546568149,0.9547044927216574,0.9544022089417648,0.9982227469039381,0.9963046508634757,0.9959016274306398,0.9955253607293028,0.989589963717566,0.9861051197065763,0.9843734117113209,0.9719472025226761,0.9704941082763408,0.9630127312235344,0.9575960235504442,0.9554974014616613,0.9532261850353385,0.9527003371947432,0.9525140617346076
7,13,1.0,0.9985438029999247,0.9915999028705426,0.9878346615899712,0.9841178222613325,0.9735584759025805,0.971076483638305,0.9690807663446045,0.966057111377492,0.9632459650798335,0.962891138534356,0.9622765424458887,0.9592767590145326,0.9580207760487578,0.9573596890369911,0.9567291182881646,0.9556278501950194,0.9553324044688924,0.9982620278833008,0.996382776183159,0.9959868125982826,0.9956166616169396,0.9898231798604128,0.9864120335501834,0.9847171819265986,0.9724938917579673,0.9710658640826082,0.9636735653157337,0.958319989192217,0.9562542945519706,0.9540256970936286,0.9535086385185819,0.9533245580211934
8,14,1.0,0.9985631870963898,0.991710720374151,0.9879926725983001,0.9843225362774166,0.9738623935769618,0.9713929030950532,0.9694334078584806,0.9664507860477725,0.9636776315119935,0.963329206315408,0.9627258181562174,0.9597653603926528,0.9585221346225002,0.9578705399676662,0.9572492870962106,0.9561597065098054,0.9558681990771893,0.9982846650612469,0.9964278172469755,0.9960359255675593,0.9956693019525449,0.9899575647659105,0.9865889067775591,0.9849153037521873,0.9728088111024682,0.9713952229746152,0.9640542326260884,0.9587370215500195,0.9566902948138212,0.9544862472987979,0.9539742517168001,0.953791435577402
9,15,1.0,0.9985636262512082,0.9917132309165725,0.9879962521989316,0.9843271738163619,0.9738692782385837,0.9714000708875015,0.9694413961943268,0.9664597038472569,0.9636874098870397,0.9633391296948495,0.9627359954177972,0.9597764284310669,0.9585334916249314,0.9578821119851427,0.957261070176777,0.9561717543251191,0.955880336100515,0.9982851779423729,0.9964288378788739,0.9960370384836784,0.9956704948116862,0.9899606093428316,0.9865929141400748,0.9849197926089074,0.9728159449877865,0.9714026839597818,0.9640628558617743,0.9587464685502706,0.9567001714960026,0.9544966801068862,0.9539847992167615,0.9538020117185464
